Name,scenario-beta-same-Expected Spread,scenario-beta-same-Faster Spread,scenario-beta-same-Slower Spread,scenario-beta-lifted-Expected Spread,scenario-beta-lifted-Faster Spread,scenario-beta-lifted-Slower Spread,scenario-beta-tight-Expected Spread,scenario-beta-tight-Faster Spread,scenario-beta-tight-Slower Spread
Nigeria,0.5266980097,0.5736375117,0.4797585077,0.6266980097,0.6736375117,0.5797585077,0.7266980097,0.7736375117,0.6797585077
Nicaragua,0.4963591044,0.5541575763,0.4385606326,0.5963591044,0.6541575763,0.5385606326,0.6963591044,0.7541575763,0.6385606326
Netherlands,0.3732960123,0.4535677772,0.2930242473,0.4732960123,0.5535677772,0.3930242473,0.5732960123,0.6535677772,0.4930242473
Norway,0.487842109,0.590171589,0.385512629,0.587842109,0.690171589,0.485512629,0.687842109,0.790171589,0.585512629
Nepal,0.5377508531,0.6205426766,0.4549590297,0.6377508531,0.7205426766,0.5549590297,0.7377508531,0.8205426766,0.6549590297
New Zealand,0.7285417176,0.9515484198,0.5055350154,0.8285417176,1.05154842,0.6055350154,0.9285417176,1.15154842,0.7055350154
Oman,0.5449525497,0.5852782078,0.5046268915,0.6449525497,0.6852782078,0.6046268915,0.7449525497,0.7852782078,0.7046268915
Pakistan,0.4372966993,0.4794572315,0.3951361671,0.5372966993,0.5794572315,0.4951361671,0.6372966993,0.6794572315,0.5951361671
Panama,0.5615664388,0.6016941414,0.5214387361,0.6615664388,0.7016941414,0.6214387361,0.7615664388,0.8016941414,0.7214387361
Peru,0.4601611529,0.4909005563,0.4294217494,0.5601611529,0.5909005563,0.5294217494,0.6601611529,0.6909005563,0.6294217494
Philippines,0.6139940696,0.6802244373,0.5477637019,0.7139940696,0.7802244373,0.6477637019,0.8139940696,0.8802244373,0.7477637019
Poland,0.448250335,0.4953053626,0.4011953074,0.548250335,0.5953053626,0.5011953074,0.648250335,0.6953053626,0.6011953074
Portugal,0.5138425505,0.5630637672,0.4646213339,0.6138425505,0.6630637672,0.5646213339,0.7138425505,0.7630637672,0.6646213339
Paraguay,0.7960968479,1.013406865,0.5787868312,0.8960968479,1.113406865,0.6787868312,0.9960968479,1.213406865,0.7787868312
Qatar,0.4176050216,0.4547251098,0.3804849334,0.5176050216,0.5547251098,0.4804849334,0.6176050216,0.6547251098,0.5804849334
Romania,0.5722242115,0.6228229007,0.5216255224,0.6722242115,0.7228229007,0.6216255224,0.7722242115,0.8228229007,0.7216255224
Russian Federation,0.464539438,0.4771154928,0.4519633832,0.564539438,0.5771154928,0.5519633832,0.664539438,0.6771154928,0.6519633832
Rwanda,0.5567799904,0.6681015055,0.4454584754,0.6567799904,0.7681015055,0.5454584754,0.7567799904,0.8681015055,0.6454584754
Saudi Arabia,0.5035531959,0.529882721,0.4772236709,0.6035531959,0.629882721,0.5772236709,0.7035531959,0.729882721,0.6772236709
Sudan,0.3925916011,0.485814476,0.2993687262,0.4925916011,0.585814476,0.3993687262,0.5925916011,0.685814476,0.4993687262
Senegal,0.504526992,0.5597542174,0.4492997666,0.604526992,0.6597542174,0.5492997666,0.704526992,0.7597542174,0.6492997666
Singapore,0.4126441711,0.4782690237,0.3470193184,0.5126441711,0.5782690237,0.4470193184,0.6126441711,0.6782690237,0.5470193184
Sierra Leone,0.4349124237,0.5198316696,0.3499931778,0.5349124237,0.6198316696,0.4499931778,0.6349124237,0.7198316696,0.5499931778
El Salvador,0.6345712878,0.6873323121,0.5818102635,0.7345712878,0.7873323121,0.6818102635,0.8345712878,0.8873323121,0.7818102635
Somalia,0.3611032456,0.4456412053,0.2765652859,0.4611032456,0.5456412053,0.3765652859,0.5611032456,0.6456412053,0.4765652859
Serbia,0.7287852653,0.8110240683,0.6465464624,0.8287852653,0.9110240683,0.7465464624,0.9287852653,1.011024068,0.8465464624
Slovakia,0.7448718915,0.8715169818,0.6182268012,0.8448718915,0.9715169818,0.7182268012,0.9448718915,1.071516982,0.8182268012
Slovenia,0.840782277,0.9384080061,0.7431565479,0.940782277,1.038408006,0.8431565479,1.040782277,1.138408006,0.9431565479
Sweden,0.4856442224,0.5475821419,0.4237063028,0.5856442224,0.6475821419,0.5237063028,0.6856442224,0.7475821419,0.6237063028
Swaziland,0.5530394133,0.667613223,0.4384656035,0.6530394133,0.767613223,0.5384656035,0.7530394133,0.867613223,0.6384656035
Chad,0.3316753953,0.4781564548,0.1851943357,0.4316753953,0.5781564548,0.2851943357,0.5316753953,0.6781564548,0.3851943357
