Name,Country,Date Start,Date end intended,Implementing State/Province,Implementing City,Description of measure implemented,Keywords,Exceptions,Applies To,Target country,Target region,Tests per day,Tests conducted to date,Contacts traced to date,Column 1,Source,Target state,Target city
China,China,"Feb 11, 2020",,Guangdong,,Guangdong passed an emergency legislation banning the trading and overeating of wildlife and devolves emergency legislative powers to county-level governments.,wild animal ban,,,,,,,,,https://www.jiemian.com/article/3969310.html,,
China,China,"Feb 11, 2020",,,,"The Ministry of Human Resources and Social Security expanded existing relief measures for micro, small, and medium size enterprises.",economic stimulus,,,,,,,,,https://www.jiemian.com/article/3969029.html,,
China,China,"Feb 12, 2020",,,,China National Railway Group stopped selling seatless tickets and initiated measures to control train occupancy.,"public transport occupation, social distancing",,,,,,,,,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-594,,
China,China,"Feb 13, 2020",,Hubei,,"ubei released 1.3 million masks for civil use, providing pharmacies at ¥1 each and requiring them to sell at the ""affordable price"" of ¥2 (US$0.287) each.",civil ppe,,,,,,,,,http://www.bjnews.com.cn/news/2020/02/13/688878.html,,
China,China,"Feb 13, 2020",,Hubei,,Hubei postponed business resumption and start of new semester across the province; businesses were not to resume before 24:00 on 20 Feb,"business suspension, school closure",,,,,,,,,https://www.jiemian.com/article/3979654.html,,
China,China,"Feb 13, 2020",,Guangxi,,Guangxi prohibited the start of new semester before 1 March.,school closure,,,,,,,,,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-609,,
China,China,"Feb 13, 2020",,Hubei,Wuhan,"Wuhan enacts a new rule prohibiting people from leaving their neighbourhoods for non-medical reasons, updating the curfew to a full lockdown","blanket house confinement, compulsory isolation, lockdown",,,,,,,,,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-610,,
China,China,"Feb 14, 2020",,,Beijing,Beijing required all persons returning to the city to self-quarantine for 14 days.,"blanket house confinement, compulsory isolation",,,,,,,,,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-616,,
Italy,Italy,"Mar 12, 2020","Mar 25, 2020",,,"closure of shops (supermarkets, grocery, pharmacy)",business suspension,"supermarkets, grocery, pharmacy",,,,,,,,https://www.mzv.cz/rome/cz/viza_a_konzularni_informace/dalsi_zesilena_opatreni_proti_sireni.html,,
Italy,Italy,"Mar 12, 2020","Mar 25, 2020",,,closures of companies,business suspension,"banks, transportations, financial and insurance companies",,,,,,,,https://www.mzv.cz/rome/cz/viza_a_konzularni_informace/dalsi_zesilena_opatreni_proti_sireni.html,,
Italy,Italy,"Mar 08, 2020",,,,avoiding moves from place of residence,public transport occupation,,,,,,,,,https://www.mzv.cz/rome/cz/viza_a_konzularni_informace/dalsi_zesilena_opatreni_proti_sireni.html,,
